COUNTRY,FA19 UND,FA19 GRAD,FA19 PROF,FA19 F,FA19 M,FA19 UNK,FA19 ALL
Albania ,0,1,0,1,0,0,1
Algeria ,0,2,0,1,1,0,2
Antigua and Barbuda ,1,0,0,0,1,0,1
Argentina ,1,18,1,8,12,0,20
Armenia ,1,2,0,2,1,0,3
Australia ,26,8,0,16,18,0,34
Austria ,26,5,0,13,18,0,31
Bahrain ,0,1,0,1,0,0,1
Bangladesh ,4,51,0,22,33,0,55
Belarus ,0,3,0,3,0,0,3
Belgium ,17,0,2,8,11,0,19
Belize ,4,0,0,1,3,0,4
Benin ,0,6,0,1,5,0,6
Bolivia ,2,2,0,3,1,0,4
Bosnia and Herzegovi ,1,0,0,1,0,0,1
Brazil ,22,83,3,35,73,0,108
Bulgaria ,0,3,0,2,1,0,3
Burkina Faso ,0,1,0,0,1,0,1
Burma ,1,1,0,1,1,0,2
Canada ,44,58,1,34,69,0,103
Chile ,4,8,1,5,8,0,13
China ,3043,2766,16,2456,3367,2,5825
Colombia ,2,45,0,18,29,0,47
Congo (Kinshasa) ,4,2,0,2,4,0,6
Costa Rica ,1,6,0,2,5,0,7
Croatia ,2,1,0,2,1,0,3
Cyprus ,0,2,0,0,2,0,2
Czech Republic ,2,0,0,1,1,0,2
Denmark ,3,2,0,2,3,0,5
Dominican Republic ,1,8,0,4,5,0,9
Ecuador ,5,19,0,11,13,0,24
Egypt ,2,29,0,9,22,0,31
El Salvador ,0,4,0,2,2,0,4
Eritrea ,1,0,0,0,1,0,1
Ethiopia ,0,1,0,1,0,0,1
Finland ,0,2,0,0,2,0,2
France ,16,23,1,12,28,0,40
Georgia ,1,1,0,0,2,0,2
Germany ,21,12,3,8,28,0,36
Ghana ,0,10,0,3,7,0,10
Greece ,1,21,0,9,13,0,22
Guatemala ,0,5,0,1,4,0,5
Haiti ,0,2,0,0,2,0,2
Honduras ,1,5,0,1,5,0,6
Hong Kong ,31,14,1,20,26,0,46
Hungary ,1,2,0,1,2,0,3
India ,593,912,7,456,1055,1,1512
Indonesia ,85,55,0,55,85,0,140
Iran ,0,107,0,33,74,0,107
Ireland ,8,1,0,2,7,0,9
Israel ,2,6,0,2,6,0,8
Italy ,27,25,0,11,41,0,52
Jamaica ,1,0,0,0,1,0,1
Japan ,29,28,0,20,37,0,57
Jordan ,1,18,0,5,14,0,19
Kazakhstan ,1,29,0,13,17,0,30
Kenya ,0,8,0,5,3,0,8
Kuwait ,0,6,0,1,4,1,6
Laos ,0,1,0,0,1,0,1
Latvia ,0,1,0,1,0,0,1
Lebanon ,3,32,0,11,24,0,35
Lesotho ,0,1,0,0,1,0,1
Libya ,0,1,0,1,0,0,1
Luxembourg ,1,0,0,1,0,0,1
Macau ,4,1,0,3,2,0,5
Malawi ,0,2,0,2,0,0,2
Malaysia ,49,20,1,35,35,0,70
Malta ,1,0,0,1,0,0,1
Mexico ,14,31,2,18,29,0,47
Moldova ,0,1,0,1,0,0,1
Mongolia ,2,1,0,3,0,0,3
Morocco ,0,2,0,0,2,0,2
Nepal ,0,22,0,10,12,0,22
Netherlands ,18,3,2,9,14,0,23
New Zealand ,1,3,0,1,3,0,4
Nigeria ,6,45,0,18,33,0,51
Norway ,1,0,0,0,1,0,1
Pakistan ,13,44,0,14,43,0,57
Panama ,2,4,0,1,5,0,6
Paraguay ,0,3,0,3,0,0,3
Peru ,4,16,0,8,12,0,20
Philippines ,3,4,0,1,6,0,7
Poland ,2,1,0,1,2,0,3
Portugal ,1,2,0,1,2,0,3
Romania ,1,6,1,1,7,0,8
Russia ,7,19,0,14,12,0,26
Saudi Arabia ,23,29,0,15,37,0,52
Senegal ,0,1,0,0,1,0,1
Serbia ,0,3,0,1,2,0,3
Singapore ,45,19,1,24,41,0,65
South Africa ,2,4,0,3,3,0,6
South Korea ,544,383,15,346,596,0,942
Spain ,68,29,1,48,50,0,98
Sri Lanka ,1,17,0,5,13,0,18
Sweden ,24,4,3,15,16,0,31
Switzerland ,1,0,0,0,1,0,1
Syria ,0,1,0,0,1,0,1
Taiwan ,134,259,1,166,228,0,394
Thailand ,30,26,0,20,36,0,56
Timor-Leste ,0,1,0,0,1,0,1
Trinidad and Tobago ,1,1,0,1,1,0,2
Tunisia ,2,2,0,1,3,0,4
Turkey ,39,60,0,36,63,0,99
Uganda ,0,8,0,4,4,0,8
Ukraine ,3,3,0,3,3,0,6
United Arab Emirates ,2,0,0,0,2,0,2
United Kingdom ,29,18,0,15,32,0,47
Uruguay ,0,1,0,0,1,0,1
Uzbekistan ,0,1,0,0,1,0,1
Venezuela ,0,7,1,4,4,0,8
Vietnam ,15,33,0,21,27,0,48
West Bank ,1,1,0,0,2,0,2
Zambia ,0,1,0,0,1,0,1
Zimbabwe ,0,1,0,1,0,0,1
ALL,5136,5609,64,4214,6591,4,10809
CAMPUS TOTAL,33850,16319,1027,,,,51196